old_url,new_url,type,note
/index.html,/,301,トップ一本化（重複解消の要）
/concept.html,/about/,301,当院について
/incho.html,/director/,301,院長紹介
/nhk.html,/media/,301,メディア出演
/kanja.html,/voice/,301,患者様の声（投稿カテゴリ化）
/access.html,/access/,301,アクセス
/privacy.html,/privacy/,301,タイトル誤記「プライポリシー」を修正
/kyuujin.html,/recruit/,301,求人募集
/menu.html,/menu/,301,施術メニュー・料金
/muryou.html,/muryou/,301,無料相談
/reserve.html,/reserve/,301,ご予約
/news.html,/news/,301,お知らせ・割引（投稿一覧）
/sinkyu.html,/flow/,301,治療の流れ
/hari.html,/treatment/hari/,301,鍼治療
/kyuu.html,/treatment/kyuu/,301,灸治療
/seitai.html,/treatment/seitai/,301,整体（誤ディスクリプション是正）
/kairopura.html,/treatment/chiropractic/,301,カイロプラクティック
/esthetichtml.html,/esthetic/,301,エステ（ファイル名正規化）
/newpage17.html,/biyoubari/,301,ハリウッド美容鍼
/beauty.html,/jiko/,301,交通事故・むちうち（ファイル名と内容の不一致を是正）
/newpage4.html,/funin/,301,不妊症（症状ハブ）
/newpage25.html,/funin/,301,統合：不妊治療費用（薄いため本体へ集約）
/newpage22.html,/funin/pcos/,301,多嚢胞性卵巣症候群
/funin.html,/funin/aen/,301,不妊症と亜鉛
/funin%20aen.html,/funin/aen/,301,統合：funin.htmlと完全同一（空白入りURL）
/sakago.html,/sakago/,301,逆子
/tsuwari.html,/tsuwari/,301,つわり
/taiban.html,/taiban/,301,前置胎盤・低置胎盤
/newpage14.html,/taiban/voice/,301,前置胎盤 患者様の声
/miminari.html,/mimi/,301,耳鳴り・難聴（症状ハブ）
/Meniere.html,/mimi/meniere/,301,メニエール病（大文字URL是正）
/newpage13.html,/mimi/toppatsusei/,301,突発性難聴
/newpage23.html,/mimi/teion/,301,急性低音障害型感音難聴
/newpage24.html,/mimi/,301,統合：難聴（総論・薄いためハブへ集約）
/newpage27.html,/mimi/jikan-kaihou/,301,耳管開放症
/kafun.html,/kafun/,301,花粉症（誤ディスクリプション是正）
/newpage7.html,/kafun/shokuji/,301,花粉症（食事編）
/newpage5.html,/ibs/,301,過敏性腸症候群・潰瘍性大腸炎・クローン病
/kokushi.html,/kokushi/,301,国家試験予備校
/newpage10.html,/kokushi/,301,統合：kokushiと重複（タイトル誤字「気現役講師」）
/3okushi.html,/kokushi/,301,内部リンク誤記の保険リダイレクト
/sp/index.html,/,301,スマホ版トップ（レスポンシブへ統合）
/sp/,/,301,スマホ版ディレクトリ全体を廃止
http://teachingbeauty.main.jp/*,https://www.teachingbeauty.jp/*,301,旧ドメイン（既存挙動を維持）
